STATEFP|DISTRICT|NAME|NAMELSAD
17|27840|Neoga Community Unit School District 3|Neoga Community Unit School District 3
17|27910|Neponset Community Consolidated District 307|Neponset Community Consolidated District 307
17|27960|New Athens Community Unit School District 60|New Athens Community Unit School District 60
17|27990|Community Unit School District 16|Community Unit School District 16
17|28560|Nokomis Community Unit School District 22|Nokomis Community Unit School District 22
17|28620|McLean County Unit School District 5|McLean County Unit School District 5
17|28700|North Boone Community Unit School District 200|North Boone Community Unit School District 200
17|28810|North Clay Community Unit School District 25|North Clay Community Unit School District 25
17|29340|Oakland Community Unit School District 5|Oakland Community Unit School District 5
17|29420|Oblong Community Unit School District 4|Oblong Community Unit School District 4
17|29890|Olympia Community Unit School District 16|Olympia Community Unit School District 16
17|29940|ROWVA Community Unit School District 208|ROWVA Community Unit School District 208
17|30060|Orangeville Community Unit School District 203|Orangeville Community Unit School District 203
17|30160|Oregon Community Unit School District 220|Oregon Community Unit School District 220
17|30200|Orion Community Unit School District 223|Orion Community Unit School District 223
17|30270|Oswego Community Unit School District 308|Oswego Community Unit School District 308
17|30480|Palestine Community Unit School District 3|Palestine Community Unit School District 3
17|30540|Northwestern Community Unit School District 2|Northwestern Community Unit School District 2
17|30630|Pana Community Unit School District 8|Pana Community Unit School District 8
17|30660|Panhandle Community Unit School District 2|Panhandle Community Unit School District 2
17|30750|Paris-Union School District 95|Paris-Union School District 95
17|30780|Paris Community Unit School District 4|Paris Community Unit School District 4
17|30870|Patoka Community Unit School District 100|Patoka Community Unit School District 100
17|30930|Pawnee Community Unit School District 11|Pawnee Community Unit School District 11
17|30990|Payson Community Unit School District 1|Payson Community Unit School District 1
17|31020|Pearl City Community Unit School District 200|Pearl City Community Unit School District 200
17|31050|Pecatonica Community Unit School District 321|Pecatonica Community Unit School District 321
17|31230|Peoria School District 150|Peoria School District 150
17|31270|Peoria Heights Community Unit School District 325|Peoria Heights Community Unit School District 325
17|31290|Peotone Community Unit School District 207U|Peotone Community Unit School District 207U
17|31410|Porta Community Unit School District 202|Porta Community Unit School District 202
17|31500|Southwestern Community Unit School District 9|Southwestern Community Unit School District 9
17|31710|Pikeland Community Unit School District 10|Pikeland Community Unit School District 10
17|31740|Plainfield School District 202|Plainfield School District 202
17|31770|Plano Community Unit School District 88|Plano Community Unit School District 88
17|31890|Pleasant Hill Community Unit School District 3|Pleasant Hill Community Unit School District 3
17|31920|Pleasant Plains Community Unit School District 8|Pleasant Plains Community Unit School District 8
17|32100|Polo Community Unit School District 222|Polo Community Unit School District 222
17|32280|Pope County Community Unit School District 1|Pope County Community Unit School District 1
17|32770|Princeville Community Unit School District 326|Princeville Community Unit School District 326
17|32830|Prophetstown-Lyndon-Tampico Community Unit School District 3|Prophetstown-Lyndon-Tampico Community Unit School District 3
17|32960|Putnam County Community Unit School District 535|Putnam County Community Unit School District 535
17|33000|Quincy School District 172|Quincy School District 172
17|33090|Ramsey Community Unit School District 204|Ramsey Community Unit School District 204
17|33300|Red Bud Community Unit School District 132|Red Bud Community Unit School District 132
17|33380|Reed Custer Community Unit School District 255U|Reed Custer Community Unit School District 255U
17|33930|Riverdale Community Unit School District 100|Riverdale Community Unit School District 100
17|33950|River Bend Community Unit District 2|River Bend Community Unit District 2
17|34100|Riverton Community Unit School District 14|Riverton Community Unit School District 14
17|34140|Roanoke-Benson Community Unit School District 60|Roanoke-Benson Community Unit School District 60
17|34230|Robinson Community Unit School District 2|Robinson Community Unit School District 2
17|34320|Rochester Community Unit School District 3A|Rochester Community Unit School District 3A
17|34410|Rock Island School District 41|Rock Island School District 41
17|34440|Rockridge Community Unit School District 300|Rockridge Community Unit School District 300
17|34510|Rockford School District 205|Rockford School District 205
